frequencies	v_up	v_up_error	v_dw	v_dw_error
0	-6.977127694003283e-05	5.7928094758060094e-05	-0.00017344531562792586	9.994613821416857e-05
1	-0.0008162689940854187	0.00018989397480547354	-0.00048248517461178754	0.00013565201704768
2	-0.0006549682032575186	0.00014768507168234075	-0.0005549959867502664	0.00013522338738768477
3	2.9260896307230297e-05	7.145434841594383e-05	3.4704199777238655e-05	8.627285419729713e-05
3.25	0.003399874367704134	0.0003738491517849064	-8.101517338343343e-05	0.00018819956226888933
3.5	0.008289818365135242	0.00014646361933821014	0.0026782631074716715	0.00013804711276439575
3.75	0.009622088785084592	0.00010221203811253935	0.004529230560846996	0.00014733309933690972
4	0.009567138831935879	0.00017636646492210007	0.004370377047663629	7.793000892216838e-05
4.25	0.01035134755705747	0.00018597485813430772	0.00557305659415394	0.00016655009715645452
4.5	0.010690315475138655	0.00016009195222785227	0.006672108553413348	0.00014272282997086758
4.75	0.010628506602494682	0.00016477651741766584	0.00683429859672168	0.00020027303356725566
5	0.010445150939275552	0.0001480157182352001	0.006714876963096592	0.00015253342901432845
5.25	0.01044285555172389	0.00014891418023526515	0.006616479008955703	0.00015514025921051837
5.5	0.01069544688566241	0.00020733131401375879	0.0063771338499522354	0.0002066835456448783
5.75	0.010260765282640204	0.00015900491586374338	0.006387536630062915	0.00016004394133126745
6	0.009902394719083836	0.00016786729093267797	0.00585261899818153	0.00015843838127793346
6.25	0.009580909485060088	0.00014777559071216947	0.005429701531211092	0.00018358275059096252
6.5	0.008986439866570375	0.00013969785194072837	0.004717379131384321	0.00019886650704093288
6.75	0.008393221581531463	0.0001576060785162419	0.003960593560089188	0.00010228664156005987
7	0.007368272817856604	0.00015346482775062392	0.003107848726743928	0.00010336483527995361
8	0.0029312377941099425	0.00016165359109147779	0.000323197645121938	0.00017621673271981154
9	0.0014574293216019472	0.00016382785426215628	-2.5276965618632393e-05	0.00016525455347897884
10	0.000644128978607018	0.000149558333945603	-0.0002549422193254368	0.0001948440069090927
