frequencies	v_up	v_up_error	v_dw	v_dw_error
0	-6.72734471682112e-05	2.2061964123507915e-05	0.00032217640854260976	5.993322336162344e-05
1	-0.00042802785334452676	3.6897603893416856e-05	-0.0007001432728409598	0.00021600222379743905
2	-0.0003275678533056945	3.6569238108523365e-05	-0.0002976767272243118	0.0001211942305384207
3	7.390160793172756e-05	4.738968691577634e-05	-0.0004990967895921554	0.00017539782197536414
3.25	0.002840960041604797	8.14402404976109e-05	-0.00110662840550067	0.0003173441587086774
3.5	0.008930500305712036	4.518871624313854e-05	0.00011297174182579539	0.00017055453854387316
3.75	0.00984730013261801	7.13948538048439e-05	0.001070203232715382	0.00019545176176883496
4	0.009852892014993647	3.2007793775709164e-05	0.0009012560600365887	0.00018749811868440033
4.25	0.010282593338264093	9.153419118414689e-05	0.002518172575880043	0.00018543852943787043
4.5	0.010959477635779407	6.963762192797078e-05	0.003904635797267836	0.00021181585709452195
4.75	0.010660116709001567	4.324511040058918e-05	0.004298950862118602	0.00020790687904970794
5	0.01134147034545519	4.535078717835737e-05	0.00483100706118424	0.0002122307940725704
5.25	0.010879072570234039	5.1399468440844464e-05	0.004751542955397929	0.00018433175986376372
5.5	0.010851163644733389	6.254041200670286e-05	0.00464937952266461	0.00011792846485053102
5.75	0.010665413783367335	4.938240381569811e-05	0.003916414089341251	0.0001657394726130139
6	0.010689331827047767	7.845774682416026e-05	0.0034806316176065034	0.00022922623435733247
6.25	0.010517028955765843	4.046358002668762e-05	0.0032001217649908326	0.00018856162062334805
6.5	0.010254119942497655	4.2278379477585223e-05	0.002502042784233681	0.0002773919831506797
6.75	0.009424166850372076	8.538069922846132e-05	0.0013389507048347485	0.00018574128421581157
7	0.008075924377672346	6.062195247668993e-05	0.000721878884039811	0.00016241451008513168
8	0.0026025461039431686	7.306910281118742e-05	-0.0007499789912477676	0.00011586989671256309
9	0.0013044201473149473	6.524975751604213e-05	-0.0005897801004795227	0.00012282696055588462
10	0.0011445810055392515	7.363897564304713e-05	-0.0006077002976139094	0.00013090949803159
